PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81035,OB,1062,18OV,8039
A81035,OST,6,50OV,3586
A81035,PAD,111,TOTAL,10300
A81035,PC,47,TOTAL,10300
A81035,RA,55,16OV,8278
A81035,STIA,202,TOTAL,10300
A81036,AF,433,TOTAL,17658
A81036,AST,1352,TOTAL,17658
A81036,CAN,515,TOTAL,17658
A81036,CHD,770,TOTAL,17658
A81036,CKD,823,18OV,13848
A81036,COPD,520,TOTAL,17658
A81036,CVDPP,80,30_74,9894
A81036,DEM,221,TOTAL,17658
A81036,DEP,2359,18OV,13848
A81036,DM,883,17OV,14035
A81036,EP,170,18OV,13848
A81036,HF,207,TOTAL,17658
A81036,HYP,3109,TOTAL,17658
A81036,LD,69,TOTAL,17658
A81036,MH,168,TOTAL,17658
A81036,OB,2061,18OV,13848
A81036,OST,44,50OV,6795
A81036,PAD,125,TOTAL,17658
A81036,PC,216,TOTAL,17658
A81036,RA,121,16OV,14216
A81036,STIA,454,TOTAL,17658
A81037,AF,91,TOTAL,6836
A81037,AST,322,TOTAL,6836
A81037,CAN,159,TOTAL,6836
A81037,CHD,237,TOTAL,6836
A81037,CKD,117,18OV,5314
A81037,COPD,226,TOTAL,6836
A81037,CVDPP,120,30_74,3545
A81037,DEM,60,TOTAL,6836
A81037,DEP,331,18OV,5314
A81037,DM,439,17OV,5402
A81037,EP,52,18OV,5314
A81037,HF,61,TOTAL,6836
A81037,HYP,964,TOTAL,6836
A81037,LD,58,TOTAL,6836
A81037,MH,65,TOTAL,6836
A81037,OB,543,18OV,5314
A81037,OST,6,50OV,2175
A81037,PAD,51,TOTAL,6836
A81037,PC,72,TOTAL,6836
A81037,RA,38,16OV,5489
A81037,STIA,115,TOTAL,6836
A81038,AF,42,TOTAL,3332
A81038,AST,171,TOTAL,3332
A81038,CAN,50,TOTAL,3332
A81038,CHD,131,TOTAL,3332
A81038,CKD,75,18OV,2438
A81038,COPD,124,TOTAL,3332
A81038,CVDPP,5,30_74,1716
A81038,DEM,26,TOTAL,3332
A81038,DEP,54,18OV,2438
A81038,DM,222,17OV,2492
A81038,EP,35,18OV,2438
A81038,HF,22,TOTAL,3332
A81038,HYP,430,TOTAL,3332
A81038,LD,27,TOTAL,3332
A81038,MH,28,TOTAL,3332
A81038,OB,359,18OV,2438
A81038,OST,6,50OV,975
A81038,PAD,13,TOTAL,3332
A81038,PC,12,TOTAL,3332
A81038,RA,12,16OV,2542
A81038,STIA,58,TOTAL,3332
A81039,AF,195,TOTAL,9859
A81039,AST,717,TOTAL,9859
A81039,CAN,227,TOTAL,9859
A81039,CHD,309,TOTAL,9859
A81039,CKD,277,18OV,7710
A81039,COPD,102,TOTAL,9859
A81039,CVDPP,61,30_74,5744
A81039,DEM,78,TOTAL,9859
A81039,DEP,802,18OV,7710
A81039,DM,438,17OV,7811
A81039,EP,64,18OV,7710
A81039,HF,58,TOTAL,9859
A81039,HYP,1231,TOTAL,9859
A81039,LD,30,TOTAL,9859
A81039,MH,64,TOTAL,9859
A81039,OB,814,18OV,7710
A81039,OST,11,50OV,3773
